id;titre;intitule;description;optional
1;ARTICLE 1;LIEU DE TRAVAIL;A titre indicatif, le salarié sera affecté dans l'établissement situé au;FALSE
2;ARTICLE 2;DATE DE DEBUT;La société engage le titulaire du pr�sent contrat à compter du;FALSE
3;ARTICLE 3;DESCRIPTION DU POSTE;La sociétéengage le titulaire du pr�sent contrat en qualité de;FALSE
4;ARTICLE 4;GRADE;Le poste du titulaire du pr�sent contrat correspond au grade de;FALSE
5;ARTICLE 5;FONCTION;Le titulaire du pr�sent contrat exercera ses fonctions sous l'autorité et selon les directives de son supèrieur hiàrarchique ou toute autre personne que ce dernier d�signe pour le substituer, auquel il rendra compte de son activit�;FALSE
6;ARTICLE 6;DUREE DU TRAVAIL;Sur demande du salarié, la durée mensuelle de travail du contrat est de 35 heures répartie, à titre indicatif au cours du mois de la manière suivante;FALSE
7;ARTICLE 7;REMUNERATION;La sociétéengage le titulaire du pr�sent contrat aux taux horaires de;FALSE
8;ARTICLE 8;OBLIGATION;Le titulaire du pr�sent contrat;FALSE
9;ARTICLE 9;DATE DE FIN;Le contrat se termine le;FALSE
10;ARTICLE 10;Optional choice 1;Optional choice desc1;TRUE
11;ARTICLE 11;Optional choice 2;Optional choice desc2;TRUE
12;ARTICLE 12;Optional choice 3;Optional choice desc3;TRUE
13;ARTICLE 13;Optional choice 4;Optional choice desc4;TRUE
14;ARTICLE 14;Optional choice 5;Optional choice desc5;TRUE
