id;type;debut_periode;fin_periode;montant
1;Quality Orchestrator;2020-08-24;2020-08-25;94712
2;Concrete pink copying;2020-08-24;2020-08-25;12924
3;Automotive Berkshire;2020-08-24;2020-08-25;34687
4;Fantastic;2020-08-25;2020-08-25;90390
5;driver schemas;2020-08-24;2020-08-24;7153
6;Sports incentivize Cambridgeshire;2020-08-24;2020-08-25;24320
7;Grass-roots efficient redundant;2020-08-25;2020-08-24;82959
8;Handmade deposit;2020-08-24;2020-08-24;74701
9;navigating;2020-08-24;2020-08-24;28245
10;Buckinghamshire users maroon;2020-08-25;2020-08-24;43106
