id;reference;description
1;Cambridgeshire bypassing Executive;Dynamic compress
2;Soft;Fresh
3;Plains Vanuatu;Tunisian Dinar Assurance connecting
4;full-range strategic;cultivate Optional bypass
5;integrate Incredible Synchronised;ubiquitous Parkway Cambridgeshire
6;Applications Home Loan Account;Wooden exploit Practical
7;open system Refined Steel Towels;Harbor Principal Curve
8;hard drive Awesome Rubber Chips;next generation Run Home Loan Account
9;Lock parse;Corporate Analyst pricing structure
10;Concrete;Uzbekistan Sum infrastructures open-source
