id;nom;siret;telephone;email;adresse_id;societe_id
1;AUCHAN SUPERMARCHE;410409460;09773110055;auchan@gmail.com;1;1
2;ivory transmit Salad;58214;06880626690;Kenyatta77@yahoo.com;2;1
3;SHETAK;565314019;09298170424;SHETAK@yahoo.com;3;1
4;Concrete;195661675;00302850432;Concrete@gmail.com;4;1
5;SOMARVRAC;333899987;094206560346;SOMARVRAC@gmail.com;5;2
6;LA FOURMI;607223546;02135976970;Fourmi@hotmail.com;6;2
7;Corporate;730299098;07196503006;Lourdes_Little23@hotmail.com;7;2
8;GAP SUD;609182432;0122083761;Ila.Dicki@yahoo.com;8;3
9;MAGELI;433711306 ;093429221;Mageli43@gmail.com;9;3
10;Fresh Gloves;300760014;09158449318;Katharina88@gmail.com;10;3
