id;numero;date;prix;moyen_de_paiement;raison;societe_id;operation_id;client_fournisseur_id;etat_depense_id
1;56976;2020-09-10;98361;Chèque;architectures scalable;1;1;1;1
2;884;2020-09-10;93708;Chèque;Berkshire;2;1;2;2
3;8592;2020-09-10;69138;Espèces;Versatile Washington red;3;1;1;1
4;61590;2020-09-10;12993;Espèces;Unbranded;1;2;2;2
5;22156;2020-09-10;17851;Espèces;Pataca Rwanda Franc;2;2;10;3
6;76201;2020-09-10;18736;Carte Bancaire;facilitate;3;14;10;4
7;52702;2020-09-10;36199;Carte Bancaire;District black;1;14;3;5
8;50768;2020-09-10;76716;Virement;California;2;15;4;5
9;75915;2020-09-11;69608;Virement;Quetzal Buckinghamshire utilisation;3;15;5;6
10;59783;2020-09-10;15137;Virement;Toys Jewelery index;1;15;6;7
