id;chemin_fichier;nom;type_document_id;facture_id;releve_id;contrat_id;depense_id;employe_id;absence_id;note_de_frais_id;autres_variable_id;dpae_id;fiche_paie_id;avenant_id
1;./fichiers/social/variablesdepaie/absence_1_1.pdf;absence_1_1.pdf;6;;;;;;1;;;;;
2;./fichiers/social/variablesdepaie/absence_1_2.pdf;absence_1_2.pdf;6;;;;;;1;;;;;
3;./fichiers/social/variablesdepaie/note_de_frais_1_1.pdf;note_de_frais_1_1.pdf;7;;;;;;;1;;;;
4;./fichiers/social/variablesdepaie/note_de_frais_2_1.pdf;autres_variables_1_1.pdf;8;;;;;;;2;;;;
5;./fichiers/social/variablesdepaie/autres_variables_1_1.pdf;autres_variables_2_1.pdf;8;;;;;;;;1;;;
6;./fichiers/comptabilite/factures/facture_1_1.pdf;facture_1_1.pdf;1;1;1;1;1;1;;;;;;
7;./fichiers/comptabilite/factures/facture_2_1.pdf;facture_2_1.pdf;1;2;2;2;2;2;;;;;;
8;./fichiers/juridique/contrats/avenant_1_1.pdf;avenant_1_1.pdf;11;;;;;;;;;;;1
9;./fichiers/juridique/contrats/avenant_1_1.pdf;avenant_2_1.pdf;11;;;;;;;;;;;2
10;./fichiers/social/variablesdepaie/ficheDePaieJanvier.pdf;ficheDePaieJanvier.pdf;10;;;;;;;;;;1;
11;./fichiers/social/variablesdepaie/ficheDePaieJuin.pdf;ficheDePaieJuin.pdf;10;;;;;;;;;;3;
12;./fichiers/social/variablesdepaie/ficheDePaieJuillet.pdf;ficheDePaieJuillet.pdf;10;;;;;;;;;;2;

