id;lieu;date;lien_document
1;productize;2020-08-24;National AI bandwidth
2;Realigned Creative;2020-08-25;eyeballs open-source Gorgeous
3;whiteboard Land Wooden;2020-08-25;Soft payment Borders
4;Corporate;2020-08-25;card
5;back-end;2020-08-25;grid-enabled
6;Bedfordshire Incredible Personal Loan Account;2020-08-24;invoice Chair Metal
7;one-to-one;2020-08-25;pink Group Tenge
8;Movies EXE;2020-08-25;back up users USB
9;deploy user-facing Consultant;2020-08-24;aggregate
10;content-based customer loyalty;2020-08-25;channels sensor 1080p
