id;designation;date;montant;justificatif
1;reciprocal;2020-07-21;39792;SDD indexing Village
2;violet;2020-07-21;24148;parsing orchid
3;proactive hacking;2020-07-22;30547;synthesizing lavender Orchestrator
4;Cotton online Principal;2020-07-21;49604;synergy
5;TCP;2020-07-21;52668;concept Networked
6;encompassing Bahraini Dinar Montana;2020-07-21;19434;protocol Corporate
7;Fantastic Steel Shirt;2020-07-22;43006;Kroon invoice
8;quantify Soft;2020-07-22;21380;calculating
9;web services Towels;2020-07-21;99307;array Industrial
10;Shoes Republic of Korea quantify;2020-07-22;59615;Games
