id;date;description;type;rapproche;solde;releve_id
1;22/07/2020;Mississippi New Mexico Towels;Licensed Wooden Pants Developer actuating;false;72957;1
2;22/07/2020;Maine;SMS;true;20948;2
3;21/07/2020;Senior;Saint Pierre and Miquelon Malaysia capacitor;false;53281;3
4;22/07/2020;architect;Rustic Home Loan Account Credit Card Account;true;56028;1
5;22/07/2020;navigate Iraqi Dinar;Customer navigate;false;91165;2
6;22/07/2020;Triple-buffered;Metal Cambridgeshire;false;87410;3
7;22/07/2020;Leone;Implemented invoice 1080p;true;87394;1
8;22/07/2020;withdrawal;Savings Account;true;10462;2
9;22/07/2020;salmon Bedfordshire;partnerships Crescent Incredible;false;65571;3
10;22/07/2020;holistic Senegal matrix;Ball;false;39907;1
11;2020-07-22;testeOperation;type1;false;73.85;10
12;2020-07-22;testeOperation2;type1;false;63.30;10
13;2020-07-22;testeOperation3;type1;false;211;10
14;25/08/2020;testeOperation1;type1;true;100;8
15;25/08/2020;testeOperation2;type1;true;100;8
