id;nom;reference;tva;prix;unite;description
1;conglomeration Marketing solutions;70855;1822;47384;Assimilated deliverables Stand-alone;Representative SCSI
2;Iowa Missouri Movies;94621;44007;79392;SAS Beauty;District Internal
3;Soap;22622;23283;5187;exuding Shores;sexy Soap
4;Sausages override;43523;2925;79258;integrate back up paradigms;PNG Facilitator
5;Computer Land;15744;30386;28839;Borders non-volatile Buckinghamshire;hack SMTP
6;array Beauty;75755;18100;27443;Music;Ergonomic Granite Bike Valley Sausages
7;Maine;39539;41215;87025;Multi-channelled Shirt;orange synergies
8;indexing Netherlands Antillian Guilder FTP;18839;48347;13378;Keyboard platforms Liaison;Incredible Steel Bike
9;Steel instruction set;29677;74451;27024;Polarised;synergistic
10;Alaska Handcrafted connect;59545;50030;20166;Operations National;Customizable
