id;libelle;article_id;contrat_id;avenant_id
1;disintermediate;1;1;
2;Forward Kroon invoice;1;1;
3;Martinique Movies;1;1;
4;Dynamic;1;1;
5;Automated transmitting;1;1;
6;process improvement;1;1;
7;GB sky blue;1;1;
8;Way cyan;1;1;
9;orange Games;1;1;
10;Synergistic communities;1;1;
11;5 rue de paris 59200 Tourcoing;1;12;
12;5 rue de lille 59200 Paris;1;12;1
13;Chef d'equipe;4;12;1
14;5 rue de luxembourg Roubaix;1;12;2
15;Chef de projet;4;12;2
16;2020-01-21;2;1;
17;2020-04-21;2;2;
18;2007-09-09;2;3;
19;2010-07-21;2;4;
20;2020-07-08;2;5;
21;2020-10-15;2;6;
22;2006-04-12;2;7;
